Temperature_C,Pressure_bara
-49.5326,7.2510
-49.1500,7.3644
-48.1500,7.6672
-47.1500,7.9794
-46.1500,8.3011
-45.2901,8.5856
-45.1500,8.6326
-44.1500,8.9740
-43.1500,9.3256
-42.1500,9.6874
-41.1500,10.0598
-40.8702,10.1659
-40.1500,10.4429
-39.1500,10.8368
-38.1500,11.2419
-37.1500,11.6583
-36.2634,12.0371
-36.1500,12.0862
-35.1500,12.5258
-34.1500,12.9772
-33.1500,13.4409
-32.1500,13.9168
-31.1500,14.4053
-30.1500,14.9065
-29.2734,15.3565
-29.1500,15.4206
-28.1500,15.9480
-27.1500,16.4887
-26.1500,17.0431
-25.1500,17.6112
-24.1500,18.1935
-23.1500,18.7900
-22.2473,19.3409
-22.1500,19.4010
-21.1500,20.0267
-20.1500,20.6674
-19.1500,21.3233
-18.1500,21.9946
-17.1500,22.6816
-16.1500,23.3845
-15.2654,24.0198
-15.1500,24.1036
-14.1500,24.8391
-13.1500,25.5912
-12.1500,26.3603
-11.1500,27.1465
-10.1500,27.9502
-9.1500,28.7716
-8.4217,29.3811
-8.1500,29.6110
-7.1500,30.4686
-6.1500,31.3448
-5.1500,32.2398
-4.1500,33.1540
-3.1500,34.0876
-2.1500,35.0409
-1.8219,35.3581
-1.1500,36.0143
-0.1500,37.0082
0.8500,38.0228
1.8500,39.0585
2.8500,40.1156
3.8500,41.1947
4.8500,42.2960
5.8500,43.4200
6.8500,44.5672
7.3680,45.1706
7.8500,45.7379
8.8500,46.9329
9.8500,48.1525
10.8500,49.3973
11.8500,50.6681
12.8500,51.9656
13.8500,53.2904
14.8500,54.6436
15.3453,55.3247
15.8500,56.0261
16.8500,57.4391
17.8500,58.8840
18.8500,60.3624
19.8500,61.8764
20.8500,63.4285
21.8500,65.0221
22.8500,66.6618
23.8500,68.3542
24.1863,68.9368
24.8500,70.1094
25.8500,71.9452
26.8500,73.8983
27.8500,76.0789
28.5262,78.2798
28.5281,78.3499
28.4851,78.6055
